[2021-07-27 08:55:55.959] [remoteagent] [info] 

*
* Visual Studio Code Server
*
* Reminder: You may only use this software with Visual Studio family products,
* as described in the license https://aka.ms/vscode-remote/license
*


[2021-07-27 08:55:55.960] [remoteagent] [info] Extension host agent started.
[2021-07-27 08:55:56.727] [remoteagent] [info] [::ffff:172.29.160.1][88e273a3][ManagementConnection] New connection established.
[2021-07-27 08:55:56.748] [remoteagent] [info] [::ffff:172.29.160.1][45833a43][ExtensionHostConnection] New connection established.
[2021-07-27 08:55:56.852] [remoteagent] [info] [::ffff:172.29.160.1][45833a43][ExtensionHostConnection] <478> Launched Extension Host Process.
[2021-07-27 08:56:20.934] [remoteagent] [info] [::ffff:172.29.160.1][1aa944ad][ManagementConnection] New connection established.
[2021-07-27 08:56:20.935] [remoteagent] [info] [::ffff:172.29.160.1][54e0880f][ExtensionHostConnection] New connection established.
[2021-07-27 08:56:20.937] [remoteagent] [info] [::ffff:172.29.160.1][54e0880f][ExtensionHostConnection] <572> Launched Extension Host Process.
[2021-07-27 08:56:20.977] [remoteagent] [warning] Resolved variables received without matching request 16
[2021-07-27 08:56:21.114] [remoteagent] [warning] Resolved variables received without matching request 17
[2021-07-27 08:56:21.426] [remoteagent] [warning] Resolved variables received without matching request 18
[2021-07-27 08:56:21.427] [remoteagent] [warning] Resolved variables received without matching request 19
[2021-07-27 08:56:21.427] [remoteagent] [warning] Resolved variables received without matching request 20
[2021-07-27 08:56:22.411] [remoteagent] [warning] Resolved variables received without matching request 21
[2021-07-27 08:56:22.458] [remoteagent] [warning] Resolved variables received without matching request 22
[2021-07-27 08:56:22.505] [remoteagent] [warning] Resolved variables received without matching request 23
[2021-07-27 08:56:22.553] [remoteagent] [warning] Resolved variables received without matching request 24
[2021-07-27 08:56:22.600] [remoteagent] [warning] Resolved variables received without matching request 25
[2021-07-27 08:56:28.603] [remoteagent] [info] [::ffff:172.29.160.1][1aa944ad][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
[2021-07-27 08:56:29.622] [remoteagent] [info] [::ffff:172.29.160.1][54e0880f][ExtensionHostConnection] <572> Extension Host Process exited with code: 0, signal: null.
[2021-07-27 08:56:30.026] [remoteagent] [info] [::ffff:172.29.160.1][c888ca2d][ManagementConnection] New connection established.
[2021-07-27 08:56:30.148] [remoteagent] [info] [::ffff:172.29.160.1][aa335f7b][ExtensionHostConnection] New connection established.
[2021-07-27 08:56:30.152] [remoteagent] [info] [::ffff:172.29.160.1][aa335f7b][ExtensionHostConnection] <587> Launched Extension Host Process.
[2021-07-27 08:56:30.319] [remoteagent] [warning] Resolved variables received without matching request 26
[2021-07-27 08:56:30.382] [remoteagent] [warning] Resolved variables received without matching request 27
[2021-07-27 08:56:30.874] [remoteagent] [warning] Resolved variables received without matching request 28
[2021-07-27 08:56:30.909] [remoteagent] [warning] Resolved variables received without matching request 29
[2021-07-27 08:56:30.934] [remoteagent] [warning] Resolved variables received without matching request 30
[2021-07-27 08:56:31.497] [remoteagent] [warning] Resolved variables received without matching request 31
[2021-07-27 08:56:31.498] [remoteagent] [warning] Resolved variables received without matching request 32
[2021-07-27 08:56:31.500] [remoteagent] [warning] Resolved variables received without matching request 33
[2021-07-27 08:56:31.501] [remoteagent] [warning] Resolved variables received without matching request 34
[2021-07-27 08:56:31.519] [remoteagent] [warning] Resolved variables received without matching request 35
[2021-07-27 08:56:33.286] [remoteagent] [warning] Resolved variables received without matching request 36
[2021-07-27 08:56:33.330] [remoteagent] [warning] Resolved variables received without matching request 37
[2021-07-27 08:56:33.377] [remoteagent] [warning] Resolved variables received without matching request 38
[2021-07-27 08:56:33.425] [remoteagent] [warning] Resolved variables received without matching request 39
[2021-07-27 08:56:33.471] [remoteagent] [warning] Resolved variables received without matching request 40
[2021-07-27 08:56:39.375] [remoteagent] [info] [::ffff:172.29.160.1][c888ca2d][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
[2021-07-27 08:56:40.403] [remoteagent] [info] [::ffff:172.29.160.1][aa335f7b][ExtensionHostConnection] <587> Extension Host Process exited with code: 0, signal: null.
[2021-07-27 08:56:40.818] [remoteagent] [info] [::ffff:172.29.160.1][e33c237b][ManagementConnection] New connection established.
[2021-07-27 08:56:40.951] [remoteagent] [warning] Resolved variables received without matching request 41
[2021-07-27 08:56:40.953] [remoteagent] [info] [::ffff:172.29.160.1][8e574495][ExtensionHostConnection] New connection established.
[2021-07-27 08:56:40.957] [remoteagent] [info] [::ffff:172.29.160.1][8e574495][ExtensionHostConnection] <743> Launched Extension Host Process.
[2021-07-27 08:56:41.017] [remoteagent] [warning] Resolved variables received without matching request 42
