[2021-07-28 08:59:49.752] [remoteagent] [info] 

*
* Visual Studio Code Server
*
* Reminder: You may only use this software with Visual Studio family products,
* as described in the license https://aka.ms/vscode-remote/license
*


[2021-07-28 08:59:49.752] [remoteagent] [info] Extension host agent started.
[2021-07-28 08:59:49.937] [remoteagent] [info] [::ffff:172.29.160.1][c9389e0d][ManagementConnection] New connection established.
[2021-07-28 08:59:49.938] [remoteagent] [info] [::ffff:172.29.160.1][e66cbeed][ExtensionHostConnection] New connection established.
[2021-07-28 08:59:50.009] [remoteagent] [info] [::ffff:172.29.160.1][e66cbeed][ExtensionHostConnection] <463> Launched Extension Host Process.
[2021-07-28 09:03:33.290] [remoteagent] [info] [::ffff:172.29.160.1][1e4100c8][ManagementConnection] New connection established.
[2021-07-28 09:03:33.293] [remoteagent] [info] [::ffff:172.29.160.1][2c9b5cae][ExtensionHostConnection] New connection established.
[2021-07-28 09:03:33.307] [remoteagent] [info] [::ffff:172.29.160.1][2c9b5cae][ExtensionHostConnection] <533> Launched Extension Host Process.
[2021-07-28 09:03:33.351] [remoteagent] [warning] Resolved variables received without matching request 16
[2021-07-28 09:03:33.511] [remoteagent] [warning] Resolved variables received without matching request 17
[2021-07-28 09:03:33.848] [remoteagent] [warning] Resolved variables received without matching request 18
[2021-07-28 09:03:33.854] [remoteagent] [warning] Resolved variables received without matching request 19
[2021-07-28 09:03:33.855] [remoteagent] [warning] Resolved variables received without matching request 20
[2021-07-28 09:03:34.762] [remoteagent] [warning] Resolved variables received without matching request 21
[2021-07-28 09:03:34.808] [remoteagent] [warning] Resolved variables received without matching request 22
[2021-07-28 09:03:34.855] [remoteagent] [warning] Resolved variables received without matching request 23
[2021-07-28 09:03:34.902] [remoteagent] [warning] Resolved variables received without matching request 24
[2021-07-28 09:03:34.948] [remoteagent] [warning] Resolved variables received without matching request 25
[2021-07-28 09:03:41.211] [remoteagent] [info] [::ffff:172.29.160.1][1e4100c8][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
[2021-07-28 09:03:42.229] [remoteagent] [info] [::ffff:172.29.160.1][2c9b5cae][ExtensionHostConnection] <533> Extension Host Process exited with code: 0, signal: null.
[2021-07-28 09:03:42.636] [remoteagent] [info] [::ffff:172.29.160.1][36a140b2][ExtensionHostConnection] New connection established.
[2021-07-28 09:03:42.636] [remoteagent] [info] [::ffff:172.29.160.1][a9b3eb8f][ManagementConnection] New connection established.
