[2021-07-30 09:10:22.657] [remoteagent] [info] 

*
* Visual Studio Code Server
*
* Reminder: You may only use this software with Visual Studio family products,
* as described in the license https://aka.ms/vscode-remote/license
*


[2021-07-30 09:10:22.657] [remoteagent] [info] Extension host agent started.
[2021-07-30 09:10:22.873] [remoteagent] [info] [::ffff:172.29.160.1][62d6b72c][ManagementConnection] New connection established.
[2021-07-30 09:10:22.874] [remoteagent] [info] [::ffff:172.29.160.1][55a7491e][ExtensionHostConnection] New connection established.
[2021-07-30 09:10:22.953] [remoteagent] [info] [::ffff:172.29.160.1][55a7491e][ExtensionHostConnection] <471> Launched Extension Host Process.
[2021-07-30 09:10:45.353] [remoteagent] [info] [::ffff:172.29.160.1][a0cbf7b0][ManagementConnection] New connection established.
[2021-07-30 09:10:45.386] [remoteagent] [info] [::ffff:172.29.160.1][84c97268][ExtensionHostConnection] New connection established.
[2021-07-30 09:10:45.392] [remoteagent] [info] [::ffff:172.29.160.1][84c97268][ExtensionHostConnection] <554> Launched Extension Host Process.
[2021-07-30 09:10:45.397] [remoteagent] [warning] Resolved variables received without matching request 16
[2021-07-30 09:10:45.491] [remoteagent] [warning] Resolved variables received without matching request 17
[2021-07-30 09:10:45.902] [remoteagent] [warning] Resolved variables received without matching request 18
[2021-07-30 09:10:45.909] [remoteagent] [warning] Resolved variables received without matching request 19
[2021-07-30 09:10:45.909] [remoteagent] [warning] Resolved variables received without matching request 20
[2021-07-30 09:10:46.837] [remoteagent] [warning] Resolved variables received without matching request 21
[2021-07-30 09:10:46.883] [remoteagent] [warning] Resolved variables received without matching request 22
[2021-07-30 09:10:46.931] [remoteagent] [warning] Resolved variables received without matching request 23
[2021-07-30 09:10:46.976] [remoteagent] [warning] Resolved variables received without matching request 24
[2021-07-30 09:10:47.022] [remoteagent] [warning] Resolved variables received without matching request 25
[2021-07-30 09:11:19.847] [remoteagent] [info] [::ffff:172.29.160.1][a0cbf7b0][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
[2021-07-30 09:11:20.866] [remoteagent] [info] [::ffff:172.29.160.1][84c97268][ExtensionHostConnection] <554> Extension Host Process exited with code: 0, signal: null.
[2021-07-30 09:11:21.231] [remoteagent] [info] [::ffff:172.29.160.1][d2a1bd90][ManagementConnection] New connection established.
[2021-07-30 09:11:21.255] [remoteagent] [info] [::ffff:172.29.160.1][2e1acb4c][ExtensionHostConnection] New connection established.
[2021-07-30 09:11:21.261] [remoteagent] [info] [::ffff:172.29.160.1][2e1acb4c][ExtensionHostConnection] <569> Launched Extension Host Process.
[2021-07-30 09:11:21.342] [remoteagent] [warning] Resolved variables received without matching request 26
[2021-07-30 09:11:21.497] [remoteagent] [warning] Resolved variables received without matching request 27
[2021-07-30 09:11:21.855] [remoteagent] [warning] Resolved variables received without matching request 28
[2021-07-30 09:11:21.981] [remoteagent] [warning] Resolved variables received without matching request 29
[2021-07-30 09:11:21.988] [remoteagent] [warning] Resolved variables received without matching request 30
[2021-07-30 09:11:22.636] [remoteagent] [warning] Resolved variables received without matching request 31
[2021-07-30 09:11:22.690] [remoteagent] [warning] Resolved variables received without matching request 32
[2021-07-30 09:11:22.690] [remoteagent] [warning] Resolved variables received without matching request 33
[2021-07-30 09:11:22.759] [remoteagent] [warning] Resolved variables received without matching request 34
[2021-07-30 09:11:22.783] [remoteagent] [warning] Resolved variables received without matching request 35
[2021-07-30 09:15:04.424] [remoteagent] [info] [::ffff:172.29.160.1][d2a1bd90][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
[2021-07-30 09:15:05.450] [remoteagent] [info] [::ffff:172.29.160.1][2e1acb4c][ExtensionHostConnection] <569> Extension Host Process exited with code: 0, signal: null.
[2021-07-30 09:15:05.870] [remoteagent] [info] [::ffff:172.29.160.1][cc0cd8d7][ManagementConnection] New connection established.
[2021-07-30 09:15:06.007] [remoteagent] [info] [::ffff:172.29.160.1][47aa31eb][ExtensionHostConnection] New connection established.
[2021-07-30 09:15:06.014] [remoteagent] [info] [::ffff:172.29.160.1][47aa31eb][ExtensionHostConnection] <686> Launched Extension Host Process.
[2021-07-30 09:15:06.148] [remoteagent] [warning] Resolved variables received without matching request 36
[2021-07-30 09:15:06.222] [remoteagent] [warning] Resolved variables received without matching request 37
[2021-07-30 09:15:06.742] [remoteagent] [warning] Resolved variables received without matching request 38
[2021-07-30 09:15:06.742] [remoteagent] [warning] Resolved variables received without matching request 39
[2021-07-30 09:15:06.762] [remoteagent] [warning] Resolved variables received without matching request 40
[2021-07-30 09:15:07.321] [remoteagent] [warning] Resolved variables received without matching request 41
[2021-07-30 09:15:07.321] [remoteagent] [warning] Resolved variables received without matching request 42
[2021-07-30 09:15:07.321] [remoteagent] [warning] Resolved variables received without matching request 43
[2021-07-30 09:15:07.321] [remoteagent] [warning] Resolved variables received without matching request 44
[2021-07-30 09:15:07.324] [remoteagent] [warning] Resolved variables received without matching request 45
[2021-07-30 09:15:09.149] [remoteagent] [warning] Resolved variables received without matching request 46
[2021-07-30 09:15:09.198] [remoteagent] [warning] Resolved variables received without matching request 47
[2021-07-30 09:15:09.259] [remoteagent] [warning] Resolved variables received without matching request 48
[2021-07-30 09:15:09.289] [remoteagent] [warning] Resolved variables received without matching request 49
[2021-07-30 09:15:09.321] [remoteagent] [warning] Resolved variables received without matching request 50
[2021-07-30 09:32:21.372] [remoteagent] [warning] Resolved variables received without matching request 51
[2021-07-30 09:32:21.428] [remoteagent] [warning] Resolved variables received without matching request 52
[2021-07-30 09:32:21.478] [remoteagent] [warning] Resolved variables received without matching request 53
[2021-07-30 09:32:21.521] [remoteagent] [warning] Resolved variables received without matching request 54
[2021-07-30 09:32:21.552] [remoteagent] [warning] Resolved variables received without matching request 55
[2021-07-30 09:32:23.371] [remoteagent] [warning] Resolved variables received without matching request 56
[2021-07-30 09:32:23.416] [remoteagent] [warning] Resolved variables received without matching request 57
[2021-07-30 09:32:23.462] [remoteagent] [warning] Resolved variables received without matching request 58
[2021-07-30 09:32:23.508] [remoteagent] [warning] Resolved variables received without matching request 59
[2021-07-30 09:32:23.555] [remoteagent] [warning] Resolved variables received without matching request 60
[2021-07-30 10:01:10.279] [remoteagent] [warning] Resolved variables received without matching request 61
[2021-07-30 10:01:10.315] [remoteagent] [warning] Resolved variables received without matching request 62
[2021-07-30 10:01:10.322] [remoteagent] [warning] Resolved variables received without matching request 63
[2021-07-30 10:01:10.369] [remoteagent] [warning] Resolved variables received without matching request 64
[2021-07-30 10:01:10.416] [remoteagent] [warning] Resolved variables received without matching request 65
[2021-07-30 10:01:12.243] [remoteagent] [warning] Resolved variables received without matching request 66
[2021-07-30 10:01:12.345] [remoteagent] [warning] Resolved variables received without matching request 67
[2021-07-30 10:01:12.346] [remoteagent] [warning] Resolved variables received without matching request 68
[2021-07-30 10:01:12.391] [remoteagent] [warning] Resolved variables received without matching request 69
[2021-07-30 10:01:12.445] [remoteagent] [warning] Resolved variables received without matching request 70
[2021-07-30 10:01:14.251] [remoteagent] [warning] Resolved variables received without matching request 71
[2021-07-30 10:01:14.305] [remoteagent] [warning] Resolved variables received without matching request 72
[2021-07-30 10:01:14.351] [remoteagent] [warning] Resolved variables received without matching request 73
[2021-07-30 10:01:14.399] [remoteagent] [warning] Resolved variables received without matching request 74
[2021-07-30 10:01:14.446] [remoteagent] [warning] Resolved variables received without matching request 75
[2021-07-30 10:01:18.790] [remoteagent] [warning] Resolved variables received without matching request 76
[2021-07-30 10:01:18.841] [remoteagent] [warning] Resolved variables received without matching request 77
[2021-07-30 10:01:18.857] [remoteagent] [warning] Resolved variables received without matching request 78
[2021-07-30 10:01:18.904] [remoteagent] [warning] Resolved variables received without matching request 79
[2021-07-30 10:01:18.937] [remoteagent] [warning] Resolved variables received without matching request 80
[2021-07-30 10:01:20.777] [remoteagent] [warning] Resolved variables received without matching request 81
[2021-07-30 10:01:20.831] [remoteagent] [warning] Resolved variables received without matching request 82
[2021-07-30 10:01:20.878] [remoteagent] [warning] Resolved variables received without matching request 83
[2021-07-30 10:01:20.926] [remoteagent] [warning] Resolved variables received without matching request 84
[2021-07-30 10:01:20.972] [remoteagent] [warning] Resolved variables received without matching request 85
[2021-07-30 10:46:47.793] [remoteagent] [warning] Resolved variables received without matching request 86
[2021-07-30 10:46:47.816] [remoteagent] [warning] Resolved variables received without matching request 87
[2021-07-30 10:46:48.003] [remoteagent] [warning] Resolved variables received without matching request 88
[2021-07-30 10:46:48.065] [remoteagent] [warning] Resolved variables received without matching request 89
[2021-07-30 10:46:48.085] [remoteagent] [warning] Resolved variables received without matching request 90
[2021-07-30 10:46:49.763] [remoteagent] [warning] Resolved variables received without matching request 91
[2021-07-30 10:46:49.808] [remoteagent] [warning] Resolved variables received without matching request 92
[2021-07-30 10:46:49.858] [remoteagent] [warning] Resolved variables received without matching request 93
[2021-07-30 10:46:49.903] [remoteagent] [warning] Resolved variables received without matching request 94
[2021-07-30 10:46:49.949] [remoteagent] [warning] Resolved variables received without matching request 95
[2021-07-30 11:16:56.929] [remoteagent] [warning] Resolved variables received without matching request 96
[2021-07-30 11:16:56.946] [remoteagent] [warning] Resolved variables received without matching request 97
[2021-07-30 11:16:56.992] [remoteagent] [warning] Resolved variables received without matching request 98
[2021-07-30 11:16:57.039] [remoteagent] [warning] Resolved variables received without matching request 99
[2021-07-30 11:16:57.069] [remoteagent] [warning] Resolved variables received without matching request 100
[2021-07-30 11:16:58.899] [remoteagent] [warning] Resolved variables received without matching request 101
[2021-07-30 11:16:58.941] [remoteagent] [warning] Resolved variables received without matching request 102
[2021-07-30 11:16:58.987] [remoteagent] [warning] Resolved variables received without matching request 103
[2021-07-30 11:16:59.035] [remoteagent] [warning] Resolved variables received without matching request 104
[2021-07-30 11:16:59.082] [remoteagent] [warning] Resolved variables received without matching request 105
[2021-07-30 11:34:32.747] [remoteagent] [warning] Resolved variables received without matching request 106
[2021-07-30 11:34:32.773] [remoteagent] [warning] Resolved variables received without matching request 107
[2021-07-30 11:34:32.821] [remoteagent] [warning] Resolved variables received without matching request 108
[2021-07-30 11:34:32.838] [remoteagent] [warning] Resolved variables received without matching request 109
[2021-07-30 11:34:32.869] [remoteagent] [warning] Resolved variables received without matching request 110
[2021-07-30 11:34:34.730] [remoteagent] [warning] Resolved variables received without matching request 111
[2021-07-30 11:34:34.776] [remoteagent] [warning] Resolved variables received without matching request 112
[2021-07-30 11:34:34.822] [remoteagent] [warning] Resolved variables received without matching request 113
[2021-07-30 11:34:34.870] [remoteagent] [warning] Resolved variables received without matching request 114
[2021-07-30 11:34:34.918] [remoteagent] [warning] Resolved variables received without matching request 115
[2021-07-30 11:34:41.789] [remoteagent] [warning] Resolved variables received without matching request 116
[2021-07-30 11:34:41.836] [remoteagent] [warning] Resolved variables received without matching request 117
[2021-07-30 11:34:41.883] [remoteagent] [warning] Resolved variables received without matching request 118
[2021-07-30 11:34:41.930] [remoteagent] [warning] Resolved variables received without matching request 119
[2021-07-30 11:34:41.977] [remoteagent] [warning] Resolved variables received without matching request 120
[2021-07-30 11:34:43.787] [remoteagent] [warning] Resolved variables received without matching request 121
[2021-07-30 11:34:43.831] [remoteagent] [warning] Resolved variables received without matching request 122
[2021-07-30 11:34:43.879] [remoteagent] [warning] Resolved variables received without matching request 123
[2021-07-30 11:34:43.926] [remoteagent] [warning] Resolved variables received without matching request 124
[2021-07-30 11:34:43.972] [remoteagent] [warning] Resolved variables received without matching request 125
[2021-07-30 13:08:14.570] [remoteagent] [warning] Resolved variables received without matching request 126
[2021-07-30 13:08:14.571] [remoteagent] [warning] Resolved variables received without matching request 127
[2021-07-30 13:08:14.637] [remoteagent] [warning] Resolved variables received without matching request 128
[2021-07-30 13:08:14.683] [remoteagent] [warning] Resolved variables received without matching request 129
[2021-07-30 13:08:14.715] [remoteagent] [warning] Resolved variables received without matching request 130
[2021-07-30 13:08:16.544] [remoteagent] [warning] Resolved variables received without matching request 131
[2021-07-30 13:08:16.559] [remoteagent] [warning] Resolved variables received without matching request 132
[2021-07-30 13:08:16.608] [remoteagent] [warning] Resolved variables received without matching request 133
[2021-07-30 13:08:16.656] [remoteagent] [warning] Resolved variables received without matching request 134
[2021-07-30 13:08:16.698] [remoteagent] [warning] Resolved variables received without matching request 135
[2021-07-30 14:32:05.864] [remoteagent] [warning] Resolved variables received without matching request 136
[2021-07-30 14:32:05.875] [remoteagent] [warning] Resolved variables received without matching request 137
[2021-07-30 14:32:05.924] [remoteagent] [warning] Resolved variables received without matching request 138
[2021-07-30 14:32:05.970] [remoteagent] [warning] Resolved variables received without matching request 139
[2021-07-30 14:32:06.018] [remoteagent] [warning] Resolved variables received without matching request 140
[2021-07-30 14:32:07.807] [remoteagent] [warning] Resolved variables received without matching request 141
[2021-07-30 14:32:07.852] [remoteagent] [warning] Resolved variables received without matching request 142
[2021-07-30 14:32:07.898] [remoteagent] [warning] Resolved variables received without matching request 143
[2021-07-30 14:32:07.944] [remoteagent] [warning] Resolved variables received without matching request 144
[2021-07-30 14:32:08.000] [remoteagent] [warning] Resolved variables received without matching request 145
[2021-07-30 14:32:09.808] [remoteagent] [warning] Resolved variables received without matching request 146
[2021-07-30 14:32:09.858] [remoteagent] [warning] Resolved variables received without matching request 147
[2021-07-30 14:32:09.905] [remoteagent] [warning] Resolved variables received without matching request 148
[2021-07-30 14:32:09.951] [remoteagent] [warning] Resolved variables received without matching request 149
[2021-07-30 14:32:09.997] [remoteagent] [warning] Resolved variables received without matching request 150
[2021-07-30 15:20:07.249] [remoteagent] [warning] Resolved variables received without matching request 151
[2021-07-30 15:20:07.293] [remoteagent] [warning] Resolved variables received without matching request 152
[2021-07-30 15:20:07.295] [remoteagent] [warning] Resolved variables received without matching request 153
[2021-07-30 15:20:07.341] [remoteagent] [warning] Resolved variables received without matching request 154
[2021-07-30 15:20:07.388] [remoteagent] [warning] Resolved variables received without matching request 155
[2021-07-30 15:20:09.224] [remoteagent] [warning] Resolved variables received without matching request 156
[2021-07-30 15:20:09.270] [remoteagent] [warning] Resolved variables received without matching request 157
[2021-07-30 15:20:09.316] [remoteagent] [warning] Resolved variables received without matching request 158
[2021-07-30 15:20:09.363] [remoteagent] [warning] Resolved variables received without matching request 159
[2021-07-30 15:20:09.409] [remoteagent] [warning] Resolved variables received without matching request 160
[2021-07-30 15:22:21.391] [remoteagent] [warning] Resolved variables received without matching request 161
[2021-07-30 15:22:21.434] [remoteagent] [warning] Resolved variables received without matching request 162
[2021-07-30 15:22:21.479] [remoteagent] [warning] Resolved variables received without matching request 163
[2021-07-30 15:22:21.526] [remoteagent] [warning] Resolved variables received without matching request 164
[2021-07-30 15:22:21.572] [remoteagent] [warning] Resolved variables received without matching request 165
[2021-07-30 15:22:23.394] [remoteagent] [warning] Resolved variables received without matching request 166
